ID	名医	研究名称	研究类型	方名	疾病	研究方案	资料来源	摘要					
62	朱仁康	银屑病中医证候分布、演变与组成规律研究	非随机对照试验		银屑病	"血热、血燥、血疲三证的治疗组分别内服凉血解毒汤、养血解毒汤、活血解毒汤加减,三证的对照组则分别内服接诊医师(均为主治医师)按照自己的临床经验进行辨证论治所给予的中药。两组患者外用药均给予广安门医院院内制剂加味五石膏和湿毒膏。"	"黄敏.银屑病中医辨证规范研究[D].中国中医科学院,2006."	"目的探讨银屑病中医辨证证候分布、演变规律和证候组成规律,建立银屑病主要相关证候和辨证分型;同时通过银屑病中医辨证方一证一效的临床研究,验证三位名老中医对银屑病辨证的准确性和论治的有效性。方法本研究以朱仁康、赵炳南、金起凤三位著名中医皮肤科专家的辨证分型为基础,遵循循证医学原则,采用临床流行病学研究方法,通过严格的研究设计,调查银屑病在不同性别、年龄、病期、季节、病程等方面的证候分布规律和不同证型在人群中的演变规律;并且通过对相关全身症状、舌象、脉象、局部皮疹构成比、分布频数的统计分析,探讨银屑病中医证候相关征象的组成规律。同时,采用随机、对照的临床研究方法观察凉血解毒汤、养血解毒汤、活血解毒汤治疗血热证、血燥证、血癖证银屑病的临床疗效,进一步证实朱仁康、赵炳南、金起凤对银屑病辨证的准确性和治疗的有效性。结果1.临床一般资料分析:银屑病发病年龄以青壮年为多,患病率男性高于女性,男女比例约1.75:1,民族以汉族为主,有一定的家族史,病程偏长,易反复发病,可有明显发病诱因,发病诱因以感染占多数,西医诊断分型以寻常型为主。2.中医证候分布及演变规律:银屑病中医辨证分型主要为血热证、血燥证、血癖证三型,银屑病血热、血燥、血癖三个主要证型在不同性别、不同年龄、不同季节、不同总病程的分布无显著性差异(P>0.05)。在病期不同、本次复发或加重时间不同时,银屑病血热、血燥、血癖三个主要证型的分布有极显著性差异(P<。.01);进行期银屑病以血热证为主,消退期(恢复期)银屑病以血燥证为主,静止期(稳定期)银屑病以血癖证为主;本次复发或加重时间短,血热证比例高:本次复发或加重时间长,血燥证、血疲证比例高。3.中医证候组成规律:银屑病患者全身症状中大部分症状在血热、血燥、血癖三个主要证型间分布无显著性差异(P>0.05),只有咽喉、唇色、饮水、情志、大便、小便以及女性月经的经色量质共七项症状在血热、血燥、血癖三个主要证型的分布有显著性差异(P<0.01)。舌象表现中舌体胖瘦、裂纹、齿痕、舌下络脉在银屑病血热、血燥、血癖三个主要证型间分布无显著性差异(P)0.05);舌质、舌苔、疲斑三项表现在银屑病血热、血燥、血癖三个主要证型间分布有显著性差异(P<0.01)。脉象表现中滑脉、数脉、细脉、涩脉临床表现在血热、血燥、血疲三个主要证型间分布有显著性差异(P<0.01),弦脉、沉脉、平脉、其他在三个主要证型间分布无显著性差异(P>0.05)。银屑病患者皮疹表现中皮疹概况(包括近2周新出皮疹情况、有无同形反应、有无点状出血)、皮疹形状(点滴状、斑块状、蝠壳状)、皮疹颜色(头部、上肢、躯干、下肢)、皮疹浸润程度(头部、上肢、躯干、下肢)、伴随症状(有无皮疹灼热)在银屑病血热、血燥、血癖三个主要证型间分布有显著性差异(P<0.01)。而全身皮肤状况、皮疹概况(鳞屑能否覆盖红斑)、鳞屑情况、伴随症状(皮疹瘤痒程度)、特殊受累部位在银屑病三个主要证型间分布无显著性差异(P)0.05)。4.临床研究:银屑病血热型患者治疗组痊愈率23.3%,显效率56.7%,总有效率为80.0%;对照组痊愈率16.7%,显效率56.7%,总有效率73.4%;经x'检验,两组患者临床疗效对比无显著性差异(P>0.05)。血燥型患者治疗组痊愈率巧.0%,显效率50.0%,总有效率为65.0%;对照组痊愈率10.0%,显效率40.0%,总有效率50.0%;经x'检验,两组患者临床疗效对比无显著性差异(外0.05)。血癖型患者治疗组痊愈率巧.0%,显效率45.0%,总有效率为60.0%;对照组痊愈率5.0%,显效率20.0%,总有效率25.0%;经xZ检验,两组患者临床疗效有显著性差异(P<0.05)。结论1.中医证候分布演变规律:在银屑病漫长的疾病发生发展变化过程中,倾向于缠绵顽固、反复发作,银屑病中医辨证分型与性别、年龄、季节、总病程关系不大,而与病期、本次复发或加重时间显著相关。银屑病血热、血燥、血癖三个主要证型之间存在着时相性,每次发病多以血热证初起,随着病程的延长,逐渐转化为血燥证或血疲证。银屑病发病之始多为血热,而其又是病机转化的关键。2.中医证候组成规律:银屑病血热证主要临床表现为:全身症状可出现咽喉红肿或疼痛不适,唇色赤红,口渴而喜冷饮,心烦易怒,大便秘结,小便正常或黄、短赤;女性患者经色量质可正常或表现为月经色深红量多;舌象可出现舌质目的探讨银屑病中医辨证证候分布、演变规律和证候组成规律,建立银屑病主要相关证候和辨证分型;同时通过银屑病中医辨证方一证一效的临床研究,验证三位名老中医对银屑病辨证的准确性和论治的有效性。方法本研究以朱仁康、赵炳南、金起凤三位著名中医皮肤科专家的辨证分型为基础,遵循循证医学原则,采用临床流行病学研究方法,通过严格的研究设计,调查银屑病在不同性别、年龄、病期、季节、病程等方面的证候分布规律和不同证型在人群中的演变规律;并且通过对相关全身症状、舌象、脉象、局部皮疹构成比、分布频数的统计分析,探讨银屑病中医证候相关征象的组成规律。同时,采用随机、对照的临床研究方法观察凉血解毒汤、养血解毒汤、活血解毒汤治疗血热证、血燥证、血癖证银屑病的临床疗效,进一步证实朱仁康、赵炳南、金起凤对银屑病辨证的准确性和治疗的有效性。'结果1.临床一般资料分析:银屑病发病年龄以青壮年为多,患病率男性高于女性,男女比例约1.75:1,民族以汉族为主,有一定的家族史,病程偏长,易反复发病,可有明显发病诱因,发病诱因以感染占多数,西医诊断分型以寻常型为主。2.中医证候分布及演变规律:银屑病中医辨证分型主要为血热证、血燥证、血癖证三型,银屑病血热、血燥、血癖三个主要证型在不同性别、不同年龄、不同季节、不同总病程的分布无显著性差异(P>0.05)。在病期不同、本次复发或加重时间不同时,银屑病血热、血燥、血癖三个主要证型的分布有极显著性差异(P<。.01);进行期银屑病以血热证为主,消退期(恢复期)银屑病以血燥证为主,静止期(稳定期)银屑病以血癖证为主;本次复发或加重时间短,血热证比例高:本次复发或加重时间长,血燥证、血疲证比例高。3.中医证候组成规律:银屑病患者全身症状中大部分症状在血热、血燥、血癖三个主要证型间分布无显著性差异(P>0.05),只有咽喉、唇色、饮水、情志、大便、小便以及女性月经的经色量质共七项症状在血热、血燥、血癖三个主要证型银屑病中医辨证规范研究红,舌苔薄黄或黄腻;脉象以数脉和滑脉多见;皮疹情况包括近2周有新出皮疹,且新出皮疹较多,同形反应多为阳性,有点状出血,鳞屑多不能覆盖红斑,皮疹形状以点滴状皮疹为主,且点滴状皮疹数目较多,皮疹颜色以鲜红或深红为主,皮疹浸润程度以无或轻度为主,中度、重度较少;皮疹轻、中度痉痒,多伴有皮疹灼热感。血燥证主要临床表现:全身症状包括唇色淡,口干但不欲饮水,二便多正常;女性患者月经经色量质可表现为月经色淡量少;舌象以舌质淡红或红,舌苔薄白或少苔为主;脉象多为细脉;皮疹情况包括近2周多无新出皮疹者,多无同形反应和点状出血,鳞屑不能覆盖红斑,皮疹形状以斑块状皮疹为主,皮疹颜色淡红,浸润程度多为轻、中度,皮疹痉痒,一般不伴有皮疹灼热。血疲证主要临床表现:全身症状包括唇色暗,口干但不欲饮水,情志正常,二便正常;女性患者可有月经色暗有血块;舌质紫暗,可有癖点癖斑,舌苔薄白或少苔;脉细涩脉;皮疹情况有近2周无新出皮疹,同形反应和点状出血阴性,鳞屑不能覆盖红斑,皮疹形状以斑块状和蝠壳状皮疹为主,皮疹颜色多为暗红,皮疹浸润程度以中度、重度为主,皮疹中度疫痒,一般不伴有皮疹灼热。3.临床研究:研究结果表明凉血解毒汤、养血解毒汤均可显著改善血热和血燥证患者的皮损和痉痒症状,与临床医师根据自己经验辨证论治的疗效相近;活血解毒汤和临床医师根据自己经验辨证所用方药均能显著改善血癖证患者皮损和痉痒症状,但两者之间疗效比较有显著性差异。由此说明临床医师治疗银屑病血癖证虽然有一定疗效,但还要加强学习,总结名老中医经验,以提高临床疗效。同时,也说明了凉血解毒汤、养血解毒汤、活血解毒汤治疗三证银屑病疗效满意,未发现明显毒副作用,值得临床推广并进一步研究其确切的治疗机制,从而挖掘出名老中医治疗经验的科学内涵,为银屑病的临床治疗提供科学依据。4.中医证候规范化研究是中医药发展的必然趋势,中医药治疗银屑病以辨证论治为基础,方法丰富,用药灵活,疗效较好且复发率低,缓解期长,具有较大的优势。本课题遵循循证医学原则,通过应用临床流行病学调查研究方法,探讨银屑病证候分布演变规律和证候组成规律,为银屑病的证候学研究开拓了思路,从而也为以后的大规模研究奠定基础,有利于提高中医药对本病的疗效,发挥中医药诊疗的最大优势。"					
63	赵炳南	中西药治疗带状疱疹143例			带状疱疹	"(一) 中医辨证论治共102 例。1.湿热感毒型: 最多见。证见疱疹初发, 皮损鲜红,灼热刺痛。苔薄黄或黄腻, 脉弦滑微数。治宜泻肝胆热,解毒止痛。方药: 龙胆草、黄芩、桅子、大青叶、板蓝根、车前子、泽泻、赤芍、丹皮、元胡、川楝子等。2.脾虚湿盛型: 证见皮疹颜色较淡, 疱壁松弛, 疼痛略轻, 口不渴, 腹胀便溏。舌质淡体胖, 脉沉缓或滑。治宜健脾利湿、佐以解毒。方药: 生白术、生枳壳、生薏米、川萆薢、厚朴、茯苓、板蓝根、大青叶、元胡、赤芍等。3.气滞血瘀型: 多见于老年体弱患者。病程日久,疼痛不休。舌质暗苔白, 脉弦细。治宜活血化瘀、行气止痛、清解余毒。方药: 桃仁、红花、当归、川芍、乳香、没药、黄芪、大青叶、板蓝根等。随证加减: 发于眼支加菊花, 重者用羚羊角粉, 上肢用姜黄, 下肢用牛膝。实痛用大黄, 体虚者用黄芪、党参、太子参, 顽固性疼痛酌用全虫、僵蚕、地龙等。( 二) 中药加少量类固醇制剂: 共41 例, 在辨证论治口服中药的同时, 加用强的松15-20mg/d。疗效判定及结果见附表。经统计学处理, 以上三项观察指标相比较, 无统计学差异(p>0.05)。"	"王萍,李永宽,何彤.中西药治疗带状疱疹143例临床疗效观察[J].中国皮肤性病学杂志,1996,02:102."						
64	赵炳南	中西医结合治疗寻常性座疮60例	对照研究		痤疮	"治疗组采用中药方剂口服, 组成:金银花15g 野菊花15g 黄芩10g 生栀子10g 桑白皮15g 地骨皮15g 全瓜萎15g 制大黄10g; 男性患者加用生地、丹皮各15g;女性患者加用香附、益母草各10g。每日1 剂水煎分2次服。局部外用复方硫黄洗剂(每晚温水洗脸后, 将复方硫黄洗剂摇匀, 涂抹于面部患处; 次日晨起温水洗脸后, 将复方硫黄洗剂剂的澄清液涂抹于患处) , 口服维生素B6 20mg 每日3次。对照组口服维生素B6, 外用硫黄洗剂, 方法同治疗组。2周为1个疗程, 2个疗程评定疗效。"	"张芃.中西医结合治疗寻常性座疮60例[J].中国中西医结合杂志，1997,17(7):428."						
65	赵炳南	中药石蓝草煎剂治疗急性皮炎、湿疹的临床观察与实验研究	对照研究	石蓝草煎剂	急性皮炎$湿疹	"440例急性皮炎、湿疹患者分两组治疗观察。治疗观察组:(334例) 服用“石蓝草煎剂”, 对照组(106例) 服用传统方剂如“龙胆泻肝汤”, 两组使用相似的外用药和辅助治疗。"	"张志礼.中药石蓝草煎剂治疗急性皮炎、湿疹的临床观察与实验研究[J].北京中医,1993,03:51."						
66	张志礼	中医药治疗色素性紫癜性苔癣样皮炎32例	观察研究	凉血五根汤	色素性紫癜性苔癣样皮炎	"凉血五根汤为主治疗:紫草、茜草、生地黄、赤芍、白芍、鬼箭羽、白鲜皮各15g , 白茅根、板蓝根各30g , 牡丹皮、丹参、当归、丝瓜络、木瓜、川牛膝各10g , 鸡血藤20g 。每日1剂, 水煎早晚分服, 20 天为1疗程。加减:阴虚者加玄参、麦冬、天冬、熟地黄;脾虚者加白术、茯苓、枳壳;湿热重者加苍术、黄柏、泽泻;气血虚弱者加党参、黄芪;痒甚者加浮萍、木槿皮。"	郭建峰，安家丰.中医药治疗色素性紫癜性苔癣样皮炎32例临床观察[J].1999，31（1）：41.						
67	朱仁康	朱仁康经验方治聚合性座疮58例	观察研究		痤疮	采用朱老经验方( 生地、丹皮、赤芍、蒲公英、蚤休、夏枯草、昆布、海藻、炒三棱、炒莪术) 连服4周。	"付洪军,闫西鹏.朱仁康经验方治聚合性痤疮58例[A].中国中西医结合学会皮肤性病专业委员会.2013全国中西医结合皮肤性病学术年会论文汇编[C].中国中西医结合学会皮肤性病专业委员会:,2013:1."	"目的: 观察朱仁康经验方治聚合性座疮的临床疗效。方法: 采用朱老经验方( 生地、丹皮、赤芍、蒲公英、蚤休、夏枯草、昆布、海藻、炒三棱、炒莪术) 连服4周。结果: 痊愈30例, 显效15例, 总有效率100%, 疗效慢者加用抗生素、光动力治疗1一3 次, 疗效更佳。结论: 观察朱仁康经验方治聚合性座疮的临床疗效显著, 病患非常满意。"					
68	朱仁康	朱氏皮炎汤治疗药物性皮炎56例	随机对照	朱氏皮炎汤	药物性皮炎	"所有病人一经确诊, 立即停服致敏药物。治疗组口服朱氏皮炎汤每次150mL bid。对照组口服西可韦(西替利嗪)10mg qd, 甲氰米胍0.2g tid ,酮替芬1 mg bid。两组均10天为1疗程。1疗程后观察疗效。"	"杨京慧,于振兰,杨洪军,马红.朱氏皮炎汤治疗药物性皮炎56例临床观察[J].中国麻风皮肤病杂志,2005,04:297-298."						
69	朱仁康	朱氏消炎方分级加减为主治疗寻常性痤疮148例	观察研究	朱氏消炎方	痤疮	"治疗组:口服自拟消炎方为主, 并根据痤疮分级随症加减。基本方:黄芩10g, 川黄连10g,金银花30g, 连翘15g, 甘草10g, 丹皮10g, 赤芍10g, 蚤休10g, 夏枯草20g, 丹参30g。加减法:兼便秘者, 酌加大青叶10g 或川大黄6g ;湿热著者, 加滑石10g(包);皮脂分泌多者, 加白花蛇舌草30g, 山楂15g。Ⅰ级加枇杷叶、生荷叶各10g;Ⅱ级加野菊花15g ;Ⅲ级加消瘰丸(浙贝母10g , 生牡蛎20g , 玄参10g), 蒲公英30g ;Ⅳ级以结节囊肿为主者加消瘰丸, 三棱、莪术各10g , 熟大黄6 ～10g , 以聚合性痤疮为主者再加生黄芪30g 。每日1剂,水煎早晚各温服1 次。Ⅱ 级以上同时外用消炎方煎液凉湿敷10min, 每晚1 次, 敷后勿洁面, 直接外用氯霉素搽剂。对照组:常规口服红霉素0.5g , 甲硝唑0.2g , 均每日3 次。2组均外用氯霉素搽剂点皮损处, 每日3次。治疗期间禁食肥甘厚味、辛辣炙之品, 注意睡眠, 保持心情舒畅, 切勿挤压、抓搔皮损处。"	"赵殿宝.朱氏消炎方分级加减为主治疗寻常性痤疮148例观察[J].安徽中医临床杂志,2003,05:404-405."	"目的:探讨朱氏消炎方对寻常性痤疮的疗效。方法:统计148例寻常性痤疮患者, 以朱氏消炎方分级加减为主治疗, 并设对照组52 例, 常规口服红霉素加甲硝唑, 2 组均外用氯霉素搽剂。结果:治疗组治愈率为64.9 %, 有效率为97.3 %, 对照组分别为15.4 %、59.6 %, 2组比较, 经统计学处理, 有非常显著差异(P均<0.01)。结论:朱氏消炎方是治疗寻常性痤疮非常有效的方药, 值得临床使用。"					
70	张志礼	中西医结合治疗天疱疮及类天疱疮122例	观察研究		天疱疮	"1.药物:( 1)中药分为①毒热炽盛证,主药用板蓝根、连翘、地丁、双花炭、草河车等;② 心火炽盛或血热证,主药用黄连、栀子、莲子心、生地、丹皮等;③湿热内蕴证,主药用茵陈、泽泻、猪苓、茯苓皮、车前草等;④ 脾虚湿盛证,主药用生苡米、白术、扁豆、芡实、党参等。( 2)西药分为①激素用量依病种分为两组: A组(包括PV 和PF)用泼尼松30～ 65mg /d, B组(包括PE、HP和BP)用泼尼松20～ 45mg /d; ②免疫抑制剂主要用环磷酰胺。2.方案: 分为以下步骤。① 开始给予中药及激素,观察3天,效果不明显时改用② ; ② 激素不变,调整中药,观察1周,效果不明显时改用③ ; ③ 激素总剂量不变,但调整其品种(如泼尼松改用地塞米松等) ,同时继续调整中药,观察1周,效果不明显时改用④ ;④激素加量(一般加1 /2原量)或加免疫抑制剂。"	"张志礼,邓丙戌,姜燕生,赵云妹.中西医结合治疗天疱疮及类天疱疮122例[J].中华皮肤科杂志,1996,03:203-204."						
71	庄国康	庄国康教授经验方加高频电针物理治疗面部中、重度痤疮	随机对照		痤疮	"治疗组采用庄国康教授经验方加高频电针物理的综合疗法。经验方药物组成:胆南星10g 、半夏10g 、陈皮10g 、茯苓10g 、大青叶10g 、白花蛇舌草10g 、三棱10g 、丹参10g 、侧柏叶10g 。每日1剂, 水煎取汁300mL , 分2次服。同时配合使用高频电针物理治疗。治疗前温水先清洗面部,用75%乙醇消毒, 然后用高频电针在面部每个炎性丘疹、脓疱、结节的中央点刺, 有落空感为度, 2～3mm 深,停留1～2s , 再作旋转,以破坏里面包膜,拔针后留有小孔；融合性、较大深的脓肿, 将电针顺脓肿下穿通后在旋转, 破坏里面脓腔,或在脓肿部高点行“ Ⅰ”“ 十” 切开引流排脓。接下来用暗疮针尾小铁环或消毒棉签在点刺过的损害附近轻轻挤压, 将脓液、坏死组织及粉渣样物尽可能排净, 以排除新鲜血为度, 融合性、较大深的脓肿, 给予纱布包扎,其余保持创面干燥清洁。此操作每周2 次。以上治疗以4周为1个疗程。对照组给予维胺脂胶囊(重庆华邦制药厂生产)25mg , 每日3次口服, 4周为1个疗程。"	"任朝霞,王彩霞.庄国康教授治疗面部中、重度痤疮经验[J].现代中西医结合杂志,2009,36:4549-4550."						
72	赵炳南	紫蓝方熏洗治疗泛发性跖疣34例	观察研究	紫蓝方	泛发性跖疣	"中药熏洗方以紫蓝方加味: 紫草、板蓝根、大青叶、生薏米、苦参、黄柏、马齿苋、红花、赤芍、木贼、香附、生龙骨、生牡砺各30g.熏洗方法: 将前13味中药放人锅内, 加水4000 ml, 煮沸半小时, 过滤去渣备再煎, 先用蒸汽熏患足, 待药液温度适宜将患足放人泡洗, 若药液温度下降可再加热, 每次熏洗40-50 min , 每日2~ 3 次, 一剂药用2天,7天为1疗程。"	"时万杰,胡君.紫蓝方熏洗治疗泛发性跖疣34例[A].中华中医药学会皮肤科分会.中华中医药学会皮肤科分会第四次学术年会;全国中医、中西医结合皮肤病诊疗新进展高级研修班论文集[C].中华中医药学会皮肤科分会:,2007:2."						
73	赵炳南	癣(神经性皮炎)103例中医疗效观察	观察研究		神经性皮炎	报告了中药治疗103例癣（神经性皮炎）的疗效观察，认为癣症由“风湿热虫”及局部摩擦所致。介绍了癣的四种治疗方法：①外熏治法（处方：苍术、松香、大枫子、五倍子、白鲜皮、黄柏、鹤虱、防风、苦参）；②熏药油膏电辐热罨法；③外用药有第三方熏药油膏、祛湿原料膏、止痒药膏、狼毒膏；④内服药有秦艽丸和苍耳膏。其中熏药油膏电辐热罨法为首创。经总结，临床观察有效率为95.4%，熏油电辐热疗法有效率为96.7%。	"赵炳南,马瑞臣,张作舟.癣(神经性皮炎)103例中医疗效观察. 中医争鸣,1958, 1(1): 28-32"						
